IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
3280,1.175244,6560000.0,7694210,9768882,4879565,14878877,18171568,2067195,1684225,1436265.0,2121077.0,1722460.0,0.48413
3281,1.175214,6562000.0,7696365,9772359,4881055,14883593,18177424,2067830,1684849,1436661.0,2121723.0,1723089.0,0.48413
3282,1.175168,6564000.0,7698406,9775494,4882426,14888086,18182775,2068397,1685395,1437064.0,2122295.0,1723639.0,0.52215
3283,1.175185,6566000.0,7700863,9779494,4884094,14893165,18189398,2069157,1686145,1437504.0,2123068.0,1724399.0,0.52215
3284,1.175164,6568000.0,7703070,9783023,4885646,14897907,18195318,2069777,1686745,1437903.0,2123702.0,1725003.0,0.52215
3285,1.175187,6570000.0,7705568,9787083,4887338,14903037,18202046,2070548,1687507,1438350.0,2124481.0,1725769.0,0.52215
3286,1.175143,6572000.0,7707628,9790355,4888755,14907601,18207576,2071142,1688085,1438740.0,2125095.0,1726358.0,0.52304
3287,1.175085,6574000.0,7709593,9793429,4890112,14912047,18212841,2071693,1688617,1439118.0,2125654.0,1726891.0,0.52304
3288,1.175061,6576000.0,7711778,9796867,4891633,14916741,18218639,2072306,1689211,1439525.0,2126282.0,1727489.0,0.52304
3289,1.175013,6578000.0,7713806,9800194,4893087,14921358,18224328,2072899,1689789,1439900.0,2126895.0,1728081.0,0.53557
3290,1.174993,6580000.0,7716024,9803792,4894612,14926132,18230298,2073573,1690453,1440294.0,2127580.0,1728749.0,0.53557
3291,1.174988,6582000.0,7718332,9807540,4896188,14931039,18236568,2074274,1691143,1440713.0,2128295.0,1729449.0,0.53557
3292,1.174962,6584000.0,7720507,9811023,4897675,14935749,18242383,2074920,1691777,1441108.0,2128949.0,1730086.0,0.52868
3293,1.17495,6586000.0,7722773,9814663,4899256,14940591,18248531,2075583,1692423,1441528.0,2129631.0,1730743.0,0.52868
3294,1.174936,6588000.0,7725028,9818322,4900816,14945392,18254555,2076260,1693086,1441924.0,2130318.0,1731413.0,0.52868
3295,1.174913,6590000.0,7727220,9821681,4902316,14950090,18260342,2076853,1693657,1442358.0,2130924.0,1731984.0,0.52559
3296,1.17487,6592000.0,7729285,9824965,4903713,14954647,18265854,2077464,1694254,1442744.0,2131547.0,1732589.0,0.52559
3297,1.174842,6594000.0,7731449,9828440,4905178,14959336,18271628,2078119,1694899,1443138.0,2132213.0,1733237.0,0.52559
3298,1.174848,6596000.0,7733828,9832216,4906869,14964293,18278033,2078775,1695533,1443577.0,2132884.0,1733878.0,0.51454
3299,1.174813,6598000.0,7735942,9835569,4908401,14968943,18283766,2079348,1696081,1443972.0,2133475.0,1734434.0,0.51454
3300,1.174776,6600000.0,7738049,9838989,4909879,14973577,18289447,2079964,1696681,1444345.0,2134105.0,1735042.0,0.51454
3301,1.17473,6602000.0,7740085,9842263,4911389,14978205,18295195,2080508,1697201,1444735.0,2134670.0,1735576.0,0.54713
3302,1.174725,6604000.0,7742400,9845978,4912986,14983072,18301372,2081190,1697866,1445150.0,2135365.0,1736249.0,0.54713
3303,1.174709,6606000.0,7744641,9849519,4914528,14987843,18307332,2081834,1698492,1445564.0,2136018.0,1736879.0,0.54713
3304,1.174685,6608000.0,7746826,9853033,4916099,14992615,18313364,2082446,1699085,1445969.0,2136647.0,1737485.0,0.48494
3305,1.174655,6610000.0,7748972,9856491,4917570,14997281,18319107,2083092,1699717,1446355.0,2137306.0,1738123.0,0.48494
3306,1.17465,6612000.0,7751283,9860205,4919179,15002162,18325301,2083762,1700373,1446770.0,2137989.0,1738778.0,0.48494
3307,1.174653,6614000.0,7753651,9864119,4920805,15007150,18331763,2084506,1701109,1447183.0,2138748.0,1739526.0,0.49398
3308,1.174622,6616000.0,7755788,9867603,4922357,15011916,18337781,2085110,1701695,1447578.0,2139372.0,1740126.0,0.49398
3309,1.174617,6618000.0,7758102,9871420,4923973,15016820,18344066,2085820,1702393,1447979.0,2140097.0,1740837.0,0.48301
3310,1.174582,6620000.0,7760215,9874876,4925483,15021548,18349989,2086437,1702995,1448370.0,2140736.0,1741451.0,0.48301
3311,1.174542,6622000.0,7762292,9878224,4926900,15026119,18355530,2087061,1703609,1448743.0,2141372.0,1742071.0,0.48301
3312,1.174533,6624000.0,7764578,9881902,4928425,15030960,18361631,2087768,1704307,1449157.0,2142086.0,1742774.0,0.54471
3313,1.174487,6626000.0,7766616,9885129,4929832,15035509,18367133,2088350,1704873,1449545.0,2142684.0,1743346.0,0.54471
3314,1.174476,6628000.0,7768892,9888847,4931367,15040339,18373216,2089067,1705581,1449942.0,2143409.0,1744058.0,0.54471
3315,1.174456,6630000.0,7771103,9892319,4932884,15045066,18379065,2089695,1706193,1450358.0,2144048.0,1744670.0,0.50855
3316,1.174414,6632000.0,7773167,9895648,4934364,15049670,18384717,2090274,1706753,1450741.0,2144649.0,1745244.0,0.50855
3317,1.174407,6634000.0,7775469,9899440,4935947,15054555,18390924,2090994,1707464,1451138.0,2145378.0,1745961.0,0.50855
3318,1.17439,6636000.0,7777695,9903079,4937508,15059368,18397023,2091651,1708107,1451539.0,2146052.0,1746618.0,0.52384
3319,1.174371,6638000.0,7779915,9906688,4939054,15064142,18402991,2092315,1708759,1451930.0,2146727.0,1747275.0,0.52384
3320,1.174365,6640000.0,7782222,9910448,4940644,15069025,18409202,2093011,1709443,1452335.0,2147437.0,1747966.0,0.52384
3321,1.174344,6642000.0,7784427,9914065,4942224,15073856,18415357,2093655,1710070,1452735.0,2148108.0,1748605.0,0.52439
3322,1.174311,6644000.0,7786549,9917466,4943663,15078510,18421064,2094290,1710695,1453124.0,2148755.0,1749231.0,0.52439
3323,1.17428,6646000.0,7788687,9920969,4945117,15083177,18426807,2094958,1711355,1453500.0,2149434.0,1749900.0,0.52439
3324,1.174262,6648000.0,7790913,9924619,4946680,15087998,18432908,2095623,1712007,1453894.0,2150114.0,1750561.0,0.51869
3325,1.174244,6650000.0,7793139,9928268,4948193,15092782,18438912,2096317,1712691,1454288.0,2150821.0,1751257.0,0.51869
3326,1.174225,6652000.0,7795353,9931805,4949712,15097522,18444784,2096964,1713325,1454688.0,2151476.0,1751890.0,0.51869
3327,1.174198,6654000.0,7797521,9935295,4951198,15102206,18450570,2097613,1713961,1455078.0,2152141.0,1752533.0,0.51869
3328,1.174182,6656000.0,7799755,9938901,4952734,15106975,18456529,2098282,1714617,1455475.0,2152817.0,1753191.0,0.51989
3329,1.174148,6658000.0,7801875,9942331,4954192,15111639,18462300,2098916,1715239,1455863.0,2153466.0,1753825.0,0.51989
3330,1.174167,6660000.0,7804345,9946301,4955869,15116706,18468876,2099661,1715971,1456307.0,2154222.0,1754558.0,0.51989
3331,1.174182,6662000.0,7806788,9950302,4957495,15121740,18475382,2100442,1716747,1456735.0,2155011.0,1755341.0,0.53397
3332,1.174158,6664000.0,7808971,9953795,4958992,15126434,18481177,2101081,1717371,1457130.0,2155664.0,1755970.0,0.53397
3333,1.174166,6666000.0,7811368,9957701,4960662,15131472,18487747,2101798,1718077,1457563.0,2156398.0,1756683.0,0.53397
3334,1.174134,6668000.0,7813497,9961058,4962136,15136103,18493434,2102401,1718659,1457965.0,2157020.0,1757276.0,0.52708
3335,1.174118,6670000.0,7815735,9964725,4963629,15140892,18499410,2103121,1719373,1458354.0,2157743.0,1757990.0,0.52708
3336,1.17409,6672000.0,7817893,9968073,4965115,15145545,18505109,2103711,1719943,1458769.0,2158342.0,1758560.0,0.52708
3337,1.174045,6674000.0,7819939,9971291,4966548,15150068,18510553,2104275,1720489,1459155.0,2158920.0,1759112.0,0.55279
3338,1.174043,6676000.0,7822265,9975065,4968157,15154982,18516830,2104976,1721175,1459571.0,2159636.0,1759809.0,0.55279
3339,1.174024,6678000.0,7824481,9978568,4969643,15159722,18522713,2105629,1721815,1459988.0,2160296.0,1760452.0,0.55279
3340,1.174008,6680000.0,7826719,9982136,4971192,15164493,18528677,2106279,1722447,1460399.0,2160961.0,1761093.0,0.51352
3341,1.174001,6682000.0,7829017,9985894,4972776,15169387,18534885,2106978,1723137,1460806.0,2161667.0,1761789.0,0.51352
3342,1.173991,6684000.0,7831296,9989575,4974303,15174218,18540983,2107686,1723835,1461219.0,2162390.0,1762496.0,0.51352
3343,1.173964,6686000.0,7833455,9992956,4975769,15178889,18546713,2108305,1724437,1461630.0,2163019.0,1763098.0,0.53022
3344,1.173944,6688000.0,7835664,9996417,4977322,15183628,18552602,2108904,1725015,1462048.0,2163631.0,1763678.0,0.53022
3345,1.173915,6690000.0,7837817,9999900,4978915,15188367,18558557,2109488,1725573,1462441.0,2164238.0,1764251.0,0.53022
3346,1.17388,6692000.0,7839924,10003304,4980362,15192987,18564204,2110124,1726198,1462817.0,2164885.0,1764880.0,0.52305
3347,1.173834,6694000.0,7841959,10006430,4981831,15197531,18569732,2110635,1726681,1463226.0,2165414.0,1765372.0,0.52305
3348,1.173808,6696000.0,7844132,10010005,4983327,15202260,18575602,2111311,1727348,1463601.0,2166100.0,1766044.0,0.52305
3349,1.173793,6698000.0,7846376,10013628,4984880,15207068,18581659,2111969,1727991,1464010.0,2166772.0,1766695.0,0.51667
3350,1.173783,6700000.0,7848646,10017328,4986450,15211896,18587753,2112655,1728665,1464408.0,2167470.0,1767377.0,0.51667
3351,1.173826,6702000.0,7851279,10021599,4988247,15217160,18594775,2113453,1729451,1464872.0,2168277.0,1768166.0,0.51667
3352,1.17381,6704000.0,7853518,10025268,4989804,15222004,18600943,2114127,1730113,1465273.0,2168974.0,1768842.0,0.53034
3353,1.173821,6706000.0,7855935,10029180,4991426,15227012,18607373,2114877,1730857,1465702.0,2169729.0,1769582.0,0.53034
