IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
4238,1.08452,8476000.0,9203222,16936058,8992993,18894720,22893688,2891155,39714,1011380.0,3031803.0,40420.0,0.51194
4239,1.08452,8478000.0,9205391,16940117,8995163,18899178,22899077,2891860,39716,1011617.0,3032534.0,40420.0,0.51194
4240,1.084522,8480000.0,9207580,16944157,8997306,18903663,22904507,2892546,39721,1011857.0,3033254.0,40425.0,0.5136
4241,1.084524,8482000.0,9209767,16948195,8999445,18908142,22909941,2893232,39726,1012097.0,3033974.0,40430.0,0.5136
4242,1.084526,8484000.0,9211956,16952239,9001591,18912623,22915367,2893920,39731,1012337.0,3034694.0,40435.0,0.5136
4243,1.084527,8486000.0,9214141,16956279,9003733,18917103,22920801,2894604,39736,1012577.0,3035415.0,40440.0,0.5136
4244,1.084528,8488000.0,9216326,16960321,9005875,18921580,22926227,2895290,39741,1012816.0,3036135.0,40445.0,0.51482
4245,1.084531,8490000.0,9218519,16964359,9008015,18926066,22931660,2895979,39746,1013057.0,3036853.0,40450.0,0.51482
4246,1.084532,8492000.0,9220702,16968395,9010155,18930539,22937082,2896664,39751,1013296.0,3037574.0,40455.0,0.51482
4247,1.084533,8494000.0,9222891,16972439,9012302,18935025,22942518,2897350,39756,1013536.0,3038293.0,40460.0,0.51482
4248,1.084535,8496000.0,9225077,16976480,9014443,18939503,22947951,2898037,39761,1013776.0,3039014.0,40465.0,0.51482
4249,1.084537,8498000.0,9227266,16980520,9016587,18943984,22953377,2898724,39766,1014016.0,3039733.0,40470.0,0.51364
4250,1.084538,8500000.0,9229453,16984556,9018728,18948467,22958811,2899409,39771,1014256.0,3040454.0,40475.0,0.51364
4251,1.08454,8502000.0,9231638,16988602,9020873,18952944,22964238,2900096,39776,1014496.0,3041174.0,40480.0,0.51364
4252,1.084542,8504000.0,9233829,16992641,9023014,18957427,22969671,2900783,39781,1014736.0,3041894.0,40485.0,0.51364
4253,1.084543,8506000.0,9236012,16996684,9025156,18961905,22975102,2901467,39786,1014975.0,3042615.0,40490.0,0.51474
4254,1.084545,8508000.0,9238205,17000721,9027296,18966391,22980539,2902156,39791,1015216.0,3043333.0,40495.0,0.51474
4255,1.084546,8510000.0,9240388,17004770,9029441,18970865,22985962,2902841,39796,1015455.0,3044055.0,40500.0,0.51474
4256,1.084548,8512000.0,9242579,17008809,9031582,18975351,22991402,2903527,39801,1015696.0,3044776.0,40505.0,0.51474
4257,1.084549,8514000.0,9244763,17012849,9033725,18979828,22996825,2904214,39806,1015935.0,3045494.0,40510.0,0.51318
4258,1.084551,8516000.0,9246953,17016891,9035869,18984310,23002250,2904901,39811,1016175.0,3046213.0,40515.0,0.51318
4259,1.084553,8518000.0,9249140,17020929,9038008,18988789,23007680,2905588,39816,1016415.0,3046933.0,40520.0,0.51318
4260,1.084554,8520000.0,9251328,17024970,9040153,18993274,23013117,2906274,39821,1016655.0,3047654.0,40525.0,0.51318
4261,1.084552,8522000.0,9253472,17029000,9042299,18997723,23018497,2906968,39821,1016893.0,3048381.0,40525.0,0.51473
4262,1.084555,8524000.0,9255673,17033068,9044455,19002205,23023929,2907660,39826,1017133.0,3049106.0,40530.0,0.51473
4263,1.084557,8526000.0,9257862,17037106,9046598,19006686,23029354,2908347,39831,1017373.0,3049823.0,40535.0,0.51473
4264,1.084558,8528000.0,9260049,17041145,9048740,19011169,23034786,2909032,39836,1017613.0,3050544.0,40540.0,0.51473
4265,1.08456,8530000.0,9262238,17045192,9050885,19015650,23040217,2909720,39841,1017853.0,3051264.0,40545.0,0.51473
4266,1.084562,8532000.0,9264425,17049228,9053023,19020129,23045647,2910406,39846,1018093.0,3051984.0,40550.0,0.51333
