IDX,IPC,CYCLE,INSTNUM,REGR,REGW,ROBR,ROBW,MEMR,MEMW,BRANCH,LOADDEP,STOREDEP,PVF
61,1.075002,122000.0,130889,198479,124570,257746,341985,32007,27082,27047.0,32575.0,27363.0,0.2143
62,1.081178,124000.0,133799,202902,127363,263181,349504,32735,27687,27653.0,33303.0,27972.0,0.2143
63,1.087134,126000.0,136706,207309,130151,268613,357014,33462,28292,28259.0,34029.0,28577.0,0.2143
64,1.092927,128000.0,139616,211715,132935,274049,364530,34189,28901,28865.0,34758.0,29183.0,0.2143
65,1.098542,130000.0,142526,216127,135721,279482,372047,34916,29506,29471.0,35485.0,29788.0,0.2143
66,1.103972,132000.0,145434,220536,138514,284913,379566,35643,30112,30077.0,36212.0,30397.0,0.2151
67,1.10921,134000.0,148338,224957,141302,290345,387071,36371,30717,30682.0,36939.0,31002.0,0.2151
68,1.115333,136000.0,151383,229569,144220,295939,394939,37130,31352,31316.0,37701.0,31637.0,0.2151
69,1.120842,138000.0,154368,234091,147075,301462,402639,37877,31972,31939.0,38445.0,32257.0,0.2151
70,1.125658,140000.0,157278,238498,149863,306896,410156,38605,32578,32545.0,39172.0,32863.0,0.2151
71,1.130344,142000.0,160189,242910,152648,312333,417677,39332,33186,33151.0,39900.0,33468.0,0.21523
72,1.134866,144000.0,163095,247314,155433,317763,425185,40058,33792,33756.0,40626.0,34073.0,0.21523
73,1.139305,146000.0,166007,251738,158229,323200,432708,40787,34397,34363.0,41355.0,34682.0,0.21523
74,1.143617,148000.0,168918,256146,161018,328635,440226,41515,35003,34970.0,42082.0,35288.0,0.21523
75,1.147815,150000.0,171829,260559,163803,334071,447747,42242,35611,35576.0,42810.0,35893.0,0.21433
76,1.151869,152000.0,174735,264964,166588,339502,455255,42968,36217,36181.0,43536.0,36498.0,0.21433
77,1.155824,154000.0,177642,269374,169380,344932,462769,43695,36822,36787.0,44264.0,37107.0,0.21433
78,1.159793,156000.0,180567,273819,172188,350387,470331,44426,37432,37396.0,44997.0,37717.0,0.21433
79,1.164594,158000.0,183639,278477,175132,356014,478267,45194,38072,38036.0,45765.0,38357.0,0.21433
80,1.16843,160000.0,186576,282928,177942,361481,485848,45929,38682,38649.0,46497.0,38967.0,0.21417
81,1.172003,162000.0,189486,287335,180729,366917,493361,46657,39291,39255.0,47224.0,39573.0,0.21417
82,1.175502,164000.0,192398,291744,183515,372352,500885,47384,39896,39861.0,47953.0,40178.0,0.21417
83,1.178887,166000.0,195305,296153,186304,377783,508394,48111,40502,40467.0,48679.0,40783.0,0.21417
84,1.182215,168000.0,198216,300573,189094,383220,515913,48839,41107,41074.0,49407.0,41392.0,0.21417
85,1.185458,170000.0,201126,304983,191884,388656,523431,49567,41716,41680.0,50134.0,41998.0,0.21413
86,1.189844,172000.0,204245,309714,194873,394337,531485,50346,42362,42330.0,50913.0,42647.0,0.21413
87,1.194048,174000.0,207350,314440,197843,400047,539676,51128,43018,42979.0,51713.0,43307.0,0.21413
88,1.199403,176000.0,210674,319490,201035,405976,548258,51960,43709,43672.0,52543.0,44001.0,0.21413
89,1.204661,178000.0,214002,324532,204223,411910,556862,52791,44404,44365.0,53376.0,44693.0,0.22018
90,1.209791,180000.0,217328,329576,207408,417844,565451,53623,45098,45058.0,54208.0,45387.0,0.22018
91,1.214813,182000.0,220655,334627,210598,423776,574047,54455,45789,45751.0,55039.0,46081.0,0.22018
92,1.219732,184000.0,223983,339669,213783,429709,582645,55286,46484,46444.0,55871.0,46772.0,0.22018
93,1.224518,186000.0,227306,344716,216975,435638,591229,56118,47174,47137.0,56701.0,47466.0,0.22011
94,1.229229,188000.0,230634,349758,220163,441571,599830,56949,47869,47830.0,57534.0,48161.0,0.22011
95,1.233845,190000.0,233963,354804,223348,447508,608422,57782,48563,48524.0,58364.0,48852.0,0.22011
96,1.238345,192000.0,237288,359853,226538,453438,617014,58613,49254,49217.0,59197.0,49546.0,0.22011
97,1.242763,194000.0,240615,364894,229722,459371,625608,59444,49949,49909.0,60029.0,50237.0,0.22015
98,1.24709,196000.0,243942,369941,232915,465303,634205,60277,50640,50603.0,60860.0,50932.0,0.22015
